# all_ap,0.234402
# all_ap_50,0.331129
# all_ap_25,0.444016
# all_rc,0.421954
# all_rc_50,0.579199
# all_rc_25,0.749053
scene_id,AP,AP_50%,AP_25%
05_points_GTv3_90,1.000,1.000,1.000
10_points_GTv3_09,1.000,1.000,1.000
05_points_GTv3_07,0.912,0.933,0.933
10_points_GTv3_92,0.868,0.875,0.875
05_points_GTv3_09,0.715,0.778,0.778
05_points_GTv3_89,0.698,0.855,0.855
05_points_GTv3_97,0.601,0.691,0.818
15_points_GTv3_93,0.600,0.772,0.772
10_points_GTv3_06,0.600,0.700,0.700
15_points_GTv3_96,0.588,0.729,0.800
15_points_GTv3_08,0.567,0.667,0.667
10_points_GTv3_29,0.565,0.661,0.661
05_points_GTv3_96,0.542,0.656,0.720
15_points_GTv3_09,0.532,0.713,0.810
05_points_GTv3_30,0.524,0.548,0.605
05_points_GTv3_79,0.507,0.626,0.700
05_points_GTv3_63,0.502,0.600,0.600
05_points_GTv3_57,0.500,0.597,0.597
10_points_GTv3_91,0.496,0.808,0.808
10_points_GTv3_80,0.488,0.580,0.706
15_points_GTv3_07,0.484,0.562,0.601
15_points_GTv3_29,0.484,0.597,0.661
15_points_GTv3_69,0.479,0.616,0.818
05_points_GTv3_32,0.478,0.529,0.598
05_points_GTv3_59,0.475,0.613,0.613
15_points_GTv3_81,0.467,0.732,0.732
15_points_GTv3_14,0.460,0.497,0.555
10_points_GTv3_05,0.452,0.528,0.601
05_points_GTv3_20,0.450,0.520,0.520
05_points_GTv3_43,0.448,0.574,0.574
05_points_GTv3_46,0.446,0.511,0.594
10_points_GTv3_19,0.446,0.552,0.552
15_points_GTv3_94,0.440,0.594,0.643
10_points_GTv3_10,0.439,0.621,0.621
10_points_GTv3_79,0.431,0.484,0.484
10_points_GTv3_81,0.430,0.566,0.566
15_points_GTv3_70,0.429,0.500,0.677
10_points_GTv3_39,0.429,0.429,0.629
15_points_GTv3_19,0.428,0.552,0.682
05_points_GTv3_80,0.425,0.484,0.484
10_points_GTv3_58,0.425,0.521,0.579
20_points_GTv3_65,0.423,0.626,0.693
15_points_GTv3_62,0.422,0.537,0.568
05_points_GTv3_21,0.419,0.517,0.517
05_points_GTv3_76,0.418,0.486,0.559
10_points_GTv3_67,0.418,0.529,0.568
10_points_GTv3_77,0.418,0.555,0.615
15_points_GTv3_79,0.412,0.622,0.680
05_points_GTv3_02,0.411,0.490,0.605
15_points_GTv3_75,0.406,0.477,0.577
15_points_GTv3_10,0.405,0.469,0.633
15_points_GTv3_39,0.404,0.492,0.691
