# all_ap,0.204536
# all_ap_50,0.301371
# all_ap_25,0.406463
# all_rc,0.496292
# all_rc_50,0.616453
# all_rc_25,0.700072
scene_id,AP,AP_50%,AP_25%
05_points_GTv3_69,0.945,1.000,1.000
05_points_GTv3_83,0.905,0.905,0.905
10_points_GTv3_09,0.889,1.000,1.000
05_points_GTv3_91,0.889,0.929,0.929
05_points_GTv3_96,0.885,0.900,0.900
05_points_GTv3_49,0.860,1.000,1.000
05_points_GTv3_09,0.821,0.875,0.875
20_points_GTv3_43,0.810,0.810,0.810
05_points_GTv3_90,0.806,1.000,1.000
05_points_GTv3_22,0.805,0.839,0.839
15_points_GTv3_62,0.795,0.911,0.911
10_points_GTv3_77,0.791,0.878,0.878
15_points_GTv3_79,0.767,0.942,0.942
10_points_GTv3_92,0.760,0.792,0.792
05_points_GTv3_23,0.730,0.799,0.799
15_points_GTv3_19,0.727,0.909,0.909
05_points_GTv3_89,0.720,0.878,0.878
10_points_GTv3_30,0.718,0.851,0.865
05_points_GTv3_59,0.716,0.800,0.800
05_points_GTv3_30,0.704,0.801,0.801
10_points_GTv3_06,0.697,0.840,0.840
05_points_GTv3_12,0.688,0.727,0.757
05_points_GTv3_79,0.679,0.859,0.859
15_points_GTv3_29,0.679,0.897,0.897
15_points_GTv3_31,0.674,0.883,0.928
10_points_GTv3_64,0.673,0.767,0.773
05_points_GTv3_88,0.661,0.889,0.889
15_points_GTv3_20,0.652,0.854,0.854
15_points_GTv3_93,0.640,0.952,0.985
10_points_GTv3_91,0.639,0.902,0.902
20_points_GTv3_65,0.625,0.749,0.807
15_points_GTv3_30,0.622,0.844,0.905
10_points_GTv3_16,0.609,0.677,0.677
05_points_GTv3_71,0.600,0.600,0.600
15_points_GTv3_97,0.581,0.710,0.710
05_points_GTv3_57,0.580,0.614,0.614
05_points_GTv3_08,0.578,0.721,0.867
05_points_GTv3_21,0.570,0.638,0.638
15_points_GTv3_01,0.565,0.851,0.851
20_points_GTv3_16,0.564,0.654,0.687
05_points_GTv3_07,0.562,0.600,0.600
10_points_GTv3_67,0.558,0.610,0.670
05_points_GTv3_92,0.550,0.626,0.626
05_points_GTv3_81,0.545,0.563,0.563
20_points_GTv3_61,0.542,0.771,0.792
15_points_GTv3_63,0.538,0.708,0.754
05_points_GTv3_06,0.533,0.533,0.944
15_points_GTv3_81,0.532,0.879,0.941
10_points_GTv3_05,0.532,0.580,0.580
10_points_GTv3_73,0.531,0.782,0.782
10_points_GTv3_69,0.527,0.578,0.578
15_points_GTv3_15,0.527,0.688,0.688
05_points_GTv3_76,0.525,0.580,0.580
05_points_GTv3_62,0.523,0.697,0.697
15_points_GTv3_14,0.521,0.883,0.896
05_points_GTv3_38,0.514,0.514,0.514
05_points_GTv3_27,0.507,0.535,0.642
10_points_GTv3_31,0.503,0.576,0.801
15_points_GTv3_09,0.501,0.682,0.682
10_points_GTv3_20,0.493,0.693,0.696
05_points_GTv3_48,0.486,0.587,0.587
20_points_GTv3_60,0.484,0.675,0.780
15_points_GTv3_70,0.478,0.800,0.800
15_points_GTv3_69,0.477,0.617,0.888
05_points_GTv3_53,0.475,0.549,0.669
15_points_GTv3_51,0.474,0.637,0.761
15_points_GTv3_43,0.468,0.556,0.556
05_points_GTv3_02,0.462,0.636,0.636
15_points_GTv3_64,0.462,0.563,0.617
15_points_GTv3_96,0.456,0.627,0.692
15_points_GTv3_22,0.451,0.552,0.714
