# all_ap,0.151536
# all_ap_50,0.298397
# all_ap_25,0.464295
# all_rc,0.338295
# all_rc_50,0.507667
# all_rc_25,0.638914
scene_id,AP,AP_50%,AP_25%
10_points_GTv3_09,0.889,1.000,1.000
05_points_GTv3_22,0.823,1.000,1.000
05_points_GTv3_43,0.791,1.000,1.000
10_points_GTv3_77,0.778,0.978,0.978
05_points_GTv3_82,0.735,0.833,0.833
10_points_GTv3_30,0.722,0.975,1.000
10_points_GTv3_64,0.720,0.988,0.988
20_points_GTv3_43,0.712,0.875,0.875
05_points_GTv3_48,0.644,0.964,0.964
05_points_GTv3_23,0.600,1.000,1.000
15_points_GTv3_15,0.589,0.852,0.852
05_points_GTv3_30,0.579,0.929,1.000
05_points_GTv3_49,0.572,0.800,1.000
10_points_GTv3_05,0.561,0.909,0.909
05_points_GTv3_67,0.559,0.830,1.000
05_points_GTv3_06,0.534,0.573,1.000
05_points_GTv3_17,0.521,0.794,0.794
10_points_GTv3_70,0.519,0.875,0.875
15_points_GTv3_85,0.512,0.777,0.819
10_points_GTv3_71,0.494,0.778,0.889
05_points_GTv3_68,0.492,0.687,0.800
10_points_GTv3_03,0.488,0.900,0.900
05_points_GTv3_59,0.487,0.800,0.800
05_points_GTv3_35,0.483,0.720,0.720
10_points_GTv3_73,0.482,0.831,0.978
10_points_GTv3_39,0.468,0.697,0.697
10_points_GTv3_66,0.462,0.711,0.819
05_points_GTv3_24,0.461,0.750,0.750
10_points_GTv3_69,0.459,0.767,0.767
05_points_GTv3_72,0.457,0.555,0.555
05_points_GTv3_41,0.453,0.639,0.639
05_points_GTv3_27,0.451,0.735,0.735
05_points_GTv3_42,0.450,0.806,0.860
05_points_GTv3_36,0.446,0.742,0.765
15_points_GTv3_72,0.444,0.700,0.700
10_points_GTv3_31,0.442,0.696,0.812
05_points_GTv3_34,0.438,0.645,0.683
05_points_GTv3_96,0.436,0.550,0.700
10_points_GTv3_88,0.432,0.715,0.779
10_points_GTv3_91,0.431,0.926,0.926
10_points_GTv3_16,0.429,0.556,0.676
20_points_GTv3_60,0.424,0.622,0.669
05_points_GTv3_33,0.423,0.767,0.767
05_points_GTv3_57,0.421,0.721,0.829
10_points_GTv3_83,0.419,0.643,0.643
05_points_GTv3_38,0.419,0.698,0.698
05_points_GTv3_83,0.417,0.905,0.905
10_points_GTv3_13,0.417,0.624,0.739
05_points_GTv3_88,0.415,0.667,0.778
20_points_GTv3_47,0.415,0.615,0.819
05_points_GTv3_08,0.405,0.623,0.867
20_points_GTv3_61,0.403,0.627,0.909
15_points_GTv3_14,0.403,0.649,0.909
20_points_GTv3_65,0.401,0.515,0.729
10_points_GTv3_67,0.400,0.700,0.941
05_points_GTv3_47,0.397,0.563,0.586
05_points_GTv3_66,0.394,0.507,0.507
05_points_GTv3_01,0.393,0.564,0.628
05_points_GTv3_14,0.391,0.615,0.621
05_points_GTv3_90,0.389,0.500,1.000
05_points_GTv3_11,0.386,0.673,0.722
10_points_GTv3_79,0.385,0.470,0.611
05_points_GTv3_10,0.384,0.648,0.684
15_points_GTv3_53,0.383,0.732,0.814
05_points_GTv3_00,0.381,0.527,0.527
20_points_GTv3_38,0.381,0.455,0.746
20_points_GTv3_56,0.378,0.499,0.706
10_points_GTv3_06,0.369,0.800,0.867
05_points_GTv3_76,0.366,0.648,0.779
15_points_GTv3_43,0.364,0.582,0.808
10_points_GTv3_58,0.362,0.626,0.767
15_points_GTv3_49,0.360,0.533,0.600
05_points_GTv3_02,0.360,0.825,0.825
10_points_GTv3_19,0.354,0.399,0.655
10_points_GTv3_74,0.351,0.652,0.652
05_points_GTv3_32,0.346,0.442,0.442
10_points_GTv3_12,0.346,0.455,1.000
05_points_GTv3_46,0.345,0.624,0.690
15_points_GTv3_30,0.344,0.765,0.878
05_points_GTv3_81,0.343,0.484,0.662
15_points_GTv3_56,0.342,0.470,0.690
05_points_GTv3_12,0.341,0.549,0.727
05_points_GTv3_21,0.339,0.517,0.714
15_points_GTv3_64,0.337,0.570,0.679
10_points_GTv3_49,0.334,0.692,0.769
15_points_GTv3_23,0.333,0.570,0.675
10_points_GTv3_54,0.333,0.420,0.584
20_points_GTv3_15,0.332,0.533,0.677
20_points_GTv3_72,0.332,0.543,0.547
10_points_GTv3_26,0.332,0.451,0.906
10_points_GTv3_80,0.331,0.349,0.514
20_points_GTv3_44,0.328,0.510,0.584
05_points_GTv3_71,0.328,0.451,0.600
10_points_GTv3_48,0.324,0.523,0.531
20_points_GTv3_08,0.323,0.462,0.487
10_points_GTv3_17,0.323,0.417,0.615
10_points_GTv3_21,0.320,0.569,0.694
05_points_GTv3_97,0.319,0.460,0.700
05_points_GTv3_05,0.317,0.543,0.543
10_points_GTv3_28,0.316,0.517,0.639
05_points_GTv3_89,0.312,0.600,0.900
15_points_GTv3_76,0.311,0.458,0.588
05_points_GTv3_79,0.310,0.559,0.707
05_points_GTv3_53,0.306,0.508,0.764
05_points_GTv3_80,0.303,0.430,0.430
20_points_GTv3_16,0.301,0.494,0.722
10_points_GTv3_78,0.300,0.589,0.734
15_points_GTv3_45,0.295,0.489,0.680
05_points_GTv3_58,0.294,0.392,0.392
20_points_GTv3_18,0.292,0.422,0.531
15_points_GTv3_35,0.289,0.635,0.855
15_points_GTv3_02,0.288,0.611,0.667
20_points_GTv3_41,0.286,0.506,0.716
05_points_GTv3_40,0.284,0.628,0.864
20_points_GTv3_46,0.281,0.629,0.707
20_points_GTv3_32,0.280,0.467,0.565
05_points_GTv3_39,0.280,0.400,0.400
15_points_GTv3_61,0.280,0.366,0.443
05_points_GTv3_07,0.279,0.467,0.600
05_points_GTv3_37,0.277,0.835,0.835
15_points_GTv3_40,0.276,0.451,0.569
05_points_GTv3_16,0.274,0.378,0.453
05_points_GTv3_60,0.273,0.394,0.667
05_points_GTv3_70,0.269,0.373,0.373
05_points_GTv3_15,0.268,0.353,1.000
15_points_GTv3_93,0.268,0.588,0.824
15_points_GTv3_75,0.266,0.484,0.667
15_points_GTv3_01,0.264,0.529,0.706
15_points_GTv3_38,0.263,0.658,0.790
05_points_GTv3_86,0.263,0.406,0.448
10_points_GTv3_57,0.261,0.455,0.631
05_points_GTv3_63,0.261,0.466,0.739
15_points_GTv3_67,0.261,0.604,0.669
10_points_GTv3_11,0.261,0.525,0.763
10_points_GTv3_00,0.260,0.455,0.606
20_points_GTv3_77,0.259,0.345,0.493
15_points_GTv3_84,0.258,0.410,0.570
20_points_GTv3_37,0.257,0.603,0.632
15_points_GTv3_17,0.257,0.526,0.694
05_points_GTv3_92,0.255,0.556,0.778
20_points_GTv3_35,0.255,0.387,0.507
05_points_GTv3_13,0.251,0.508,0.722
20_points_GTv3_29,0.251,0.403,0.512
10_points_GTv3_90,0.250,0.515,0.563
15_points_GTv3_39,0.248,0.377,0.635
15_points_GTv3_33,0.248,0.338,0.521
10_points_GTv3_75,0.244,0.379,0.588
15_points_GTv3_62,0.243,0.590,0.798
15_points_GTv3_83,0.242,0.315,0.814
15_points_GTv3_46,0.238,0.479,0.479
05_points_GTv3_62,0.237,0.400,0.700
20_points_GTv3_54,0.237,0.446,0.655
20_points_GTv3_71,0.235,0.400,0.553
10_points_GTv3_15,0.234,0.413,0.599
15_points_GTv3_69,0.232,0.448,0.688
15_points_GTv3_26,0.231,0.449,0.630
