# all_ap,0.359795
# all_ap_50,0.476091
# all_ap_25,0.583397
# all_rc,0.528831
# all_rc_50,0.619489
# all_rc_25,0.684508
scene_id,AP,AP_50%,AP_25%
20_points_GTv3_25,1.000,1.000,1.000
05_points_GTv3_26,1.000,1.000,1.000
05_points_GTv3_17,1.000,1.000,1.000
05_points_GTv3_27,1.000,1.000,1.000
05_points_GTv3_25,1.000,1.000,1.000
05_points_GTv3_15,1.000,1.000,1.000
05_points_GTv3_39,1.000,1.000,1.000
05_points_GTv3_56,1.000,1.000,1.000
05_points_GTv3_69,1.000,1.000,1.000
05_points_GTv3_97,1.000,1.000,1.000
05_points_GTv3_68,1.000,1.000,1.000
10_points_GTv3_09,1.000,1.000,1.000
10_points_GTv3_08,1.000,1.000,1.000
10_points_GTv3_13,1.000,1.000,1.000
10_points_GTv3_26,1.000,1.000,1.000
10_points_GTv3_69,1.000,1.000,1.000
10_points_GTv3_65,1.000,1.000,1.000
10_points_GTv3_79,1.000,1.000,1.000
10_points_GTv3_91,1.000,1.000,1.000
10_points_GTv3_90,1.000,1.000,1.000
10_points_GTv3_71,1.000,1.000,1.000
10_points_GTv3_76,1.000,1.000,1.000
05_points_GTv3_07,1.000,1.000,1.000
05_points_GTv3_06,1.000,1.000,1.000
05_points_GTv3_33,1.000,1.000,1.000
05_points_GTv3_35,1.000,1.000,1.000
05_points_GTv3_96,1.000,1.000,1.000
10_points_GTv3_16,1.000,1.000,1.000
10_points_GTv3_24,1.000,1.000,1.000
10_points_GTv3_54,1.000,1.000,1.000
10_points_GTv3_49,1.000,1.000,1.000
10_points_GTv3_82,1.000,1.000,1.000
10_points_GTv3_78,1.000,1.000,1.000
05_points_GTv3_83,0.990,1.000,1.000
10_points_GTv3_11,0.972,1.000,1.000
15_points_GTv3_90,0.972,1.000,1.000
10_points_GTv3_77,0.948,1.000,1.000
15_points_GTv3_75,0.946,1.000,1.000
10_points_GTv3_28,0.945,1.000,1.000
20_points_GTv3_16,0.944,1.000,1.000
20_points_GTv3_82,0.938,1.000,1.000
15_points_GTv3_79,0.933,1.000,1.000
10_points_GTv3_80,0.932,1.000,1.000
10_points_GTv3_73,0.932,1.000,1.000
15_points_GTv3_38,0.926,0.988,0.988
05_points_GTv3_14,0.923,0.923,1.000
15_points_GTv3_93,0.922,1.000,1.000
05_points_GTv3_60,0.922,1.000,1.000
05_points_GTv3_71,0.913,1.000,1.000
10_points_GTv3_20,0.911,1.000,1.000
05_points_GTv3_30,0.901,1.000,1.000
10_points_GTv3_74,0.900,1.000,1.000
05_points_GTv3_32,0.892,0.913,0.913
20_points_GTv3_43,0.890,1.000,1.000
15_points_GTv3_14,0.886,0.933,1.000
05_points_GTv3_01,0.883,0.909,0.909
10_points_GTv3_30,0.881,0.960,0.960
05_points_GTv3_13,0.877,0.944,0.944
10_points_GTv3_05,0.875,0.875,0.875
10_points_GTv3_59,0.872,1.000,1.000
05_points_GTv3_43,0.871,0.871,0.871
05_points_GTv3_46,0.859,1.000,1.000
05_points_GTv3_23,0.859,1.000,1.000
10_points_GTv3_66,0.858,0.858,0.858
10_points_GTv3_36,0.857,0.857,0.857
05_points_GTv3_59,0.842,1.000,1.000
10_points_GTv3_06,0.840,1.000,1.000
10_points_GTv3_39,0.840,1.000,1.000
05_points_GTv3_58,0.839,1.000,1.000
15_points_GTv3_96,0.835,0.857,0.857
15_points_GTv3_29,0.832,1.000,1.000
20_points_GTv3_61,0.830,0.948,0.948
15_points_GTv3_23,0.827,0.875,0.875
10_points_GTv3_12,0.806,1.000,1.000
15_points_GTv3_85,0.802,0.909,0.909
05_points_GTv3_36,0.799,0.963,0.963
15_points_GTv3_61,0.799,0.974,0.974
10_points_GTv3_68,0.795,1.000,1.000
15_points_GTv3_15,0.794,0.898,0.898
15_points_GTv3_10,0.786,1.000,1.000
05_points_GTv3_12,0.786,0.900,0.900
05_points_GTv3_48,0.782,0.864,0.864
15_points_GTv3_33,0.780,0.960,0.978
10_points_GTv3_03,0.778,0.833,0.833
05_points_GTv3_90,0.778,1.000,1.000
05_points_GTv3_89,0.778,1.000,1.000
05_points_GTv3_09,0.777,0.833,0.833
10_points_GTv3_25,0.777,0.777,0.777
05_points_GTv3_00,0.768,0.889,0.889
10_points_GTv3_70,0.756,0.800,0.800
05_points_GTv3_20,0.755,0.755,0.755
20_points_GTv3_76,0.748,0.900,0.900
10_points_GTv3_75,0.746,0.858,0.858
20_points_GTv3_71,0.745,0.767,0.767
20_points_GTv3_37,0.744,0.833,0.833
05_points_GTv3_79,0.733,0.857,0.857
20_points_GTv3_66,0.732,0.969,0.969
20_points_GTv3_65,0.729,0.860,0.860
05_points_GTv3_08,0.726,0.750,0.750
15_points_GTv3_45,0.726,0.778,0.778
05_points_GTv3_47,0.725,0.739,0.739
15_points_GTv3_07,0.722,0.878,0.878
15_points_GTv3_84,0.721,0.839,0.839
10_points_GTv3_58,0.719,1.000,1.000
15_points_GTv3_69,0.715,1.000,1.000
20_points_GTv3_21,0.714,0.800,0.800
05_points_GTv3_22,0.712,0.765,1.000
20_points_GTv3_40,0.710,0.751,0.824
20_points_GTv3_27,0.709,0.788,0.800
05_points_GTv3_38,0.699,0.736,0.736
15_points_GTv3_49,0.698,0.857,0.857
15_points_GTv3_53,0.697,0.858,0.875
05_points_GTv3_11,0.697,0.800,0.870
15_points_GTv3_72,0.695,0.818,0.818
20_points_GTv3_14,0.694,0.750,0.750
20_points_GTv3_31,0.694,0.766,0.766
20_points_GTv3_11,0.693,0.833,0.833
15_points_GTv3_83,0.692,0.800,0.800
20_points_GTv3_54,0.692,0.692,0.769
20_points_GTv3_42,0.692,0.838,0.838
10_points_GTv3_64,0.690,0.833,0.833
05_points_GTv3_40,0.689,0.875,1.000
20_points_GTv3_10,0.689,0.802,0.921
15_points_GTv3_20,0.684,0.714,0.857
15_points_GTv3_16,0.679,1.000,1.000
05_points_GTv3_37,0.677,0.777,0.918
15_points_GTv3_88,0.677,0.846,0.846
20_points_GTv3_47,0.669,0.769,0.769
05_points_GTv3_05,0.665,0.778,0.778
15_points_GTv3_70,0.663,1.000,1.000
20_points_GTv3_05,0.662,0.727,0.727
15_points_GTv3_27,0.659,0.702,0.779
15_points_GTv3_01,0.658,1.000,1.000
15_points_GTv3_37,0.657,0.750,0.875
05_points_GTv3_10,0.653,0.713,0.851
10_points_GTv3_43,0.651,0.750,0.750
10_points_GTv3_31,0.649,0.671,0.790
15_points_GTv3_81,0.645,1.000,1.000
05_points_GTv3_21,0.642,0.663,0.663
