# all_ap,0.362705
# all_ap_50,0.484304
# all_ap_25,0.545124
# all_rc,0.498391
# all_rc_50,0.595797
# all_rc_25,0.637551
scene_id,AP,AP_50%,AP_25%
05_points_GTv3_71,1.000,1.000,1.000
20_points_GTv3_43,1.000,1.000,1.000
05_points_GTv3_26,1.000,1.000,1.000
05_points_GTv3_43,1.000,1.000,1.000
10_points_GTv3_64,0.944,1.000,1.000
05_points_GTv3_69,0.940,1.000,1.000
05_points_GTv3_83,0.929,0.929,0.929
05_points_GTv3_92,0.927,1.000,1.000
05_points_GTv3_23,0.915,1.000,1.000
25_points_GTv3_78,0.909,0.909,0.909
05_points_GTv3_30,0.895,1.000,1.000
10_points_GTv3_09,0.889,1.000,1.000
10_points_GTv3_77,0.886,0.966,0.974
05_points_GTv3_12,0.881,0.925,0.925
05_points_GTv3_96,0.876,0.900,0.900
05_points_GTv3_22,0.870,1.000,1.000
25_points_GTv3_68,0.870,0.938,0.938
10_points_GTv3_24,0.859,0.859,0.859
10_points_GTv3_80,0.857,0.857,0.857
05_points_GTv3_81,0.856,0.900,0.900
05_points_GTv3_38,0.849,0.849,0.849
05_points_GTv3_32,0.844,0.900,0.900
10_points_GTv3_67,0.844,0.928,1.000
15_points_GTv3_62,0.843,0.957,0.957
10_points_GTv3_05,0.841,0.909,0.909
25_points_GTv3_44,0.838,0.947,0.947
05_points_GTv3_82,0.833,0.833,0.833
25_points_GTv3_55,0.828,0.938,0.938
05_points_GTv3_21,0.821,0.913,0.913
25_points_GTv3_94,0.820,0.857,0.857
10_points_GTv3_70,0.819,0.875,0.875
05_points_GTv3_91,0.818,0.862,0.862
10_points_GTv3_83,0.815,0.856,0.856
10_points_GTv3_71,0.815,0.889,0.889
15_points_GTv3_14,0.810,0.969,1.000
05_points_GTv3_90,0.806,1.000,1.000
05_points_GTv3_16,0.805,0.918,0.918
25_points_GTv3_79,0.802,0.918,0.918
05_points_GTv3_15,0.800,0.800,0.800
10_points_GTv3_81,0.799,0.963,0.963
10_points_GTv3_13,0.798,0.856,0.856
05_points_GTv3_80,0.795,0.809,0.809
25_points_GTv3_18,0.795,0.898,0.898
10_points_GTv3_03,0.794,0.849,0.849
25_points_GTv3_56,0.784,1.000,1.000
20_points_GTv3_82,0.782,0.895,0.895
25_points_GTv3_86,0.781,0.888,0.888
10_points_GTv3_29,0.777,1.000,1.000
05_points_GTv3_67,0.775,0.881,0.990
25_points_GTv3_15,0.770,0.853,0.853
05_points_GTv3_57,0.767,0.810,0.810
25_points_GTv3_63,0.764,0.929,0.929
25_points_GTv3_84,0.764,0.882,0.882
20_points_GTv3_61,0.761,0.907,0.907
25_points_GTv3_61,0.760,0.859,0.875
05_points_GTv3_35,0.758,0.778,0.778
05_points_GTv3_89,0.758,0.864,0.864
15_points_GTv3_79,0.753,0.919,0.919
10_points_GTv3_66,0.750,0.750,0.833
25_points_GTv3_47,0.750,0.876,0.889
10_points_GTv3_57,0.745,0.785,0.785
05_points_GTv3_63,0.736,0.957,0.957
05_points_GTv3_58,0.736,0.875,0.875
25_points_GTv3_28,0.734,0.933,0.933
05_points_GTv3_09,0.734,0.750,0.750
25_points_GTv3_30,0.732,0.909,0.909
05_points_GTv3_79,0.732,0.920,0.920
25_points_GTv3_95,0.722,0.857,0.894
10_points_GTv3_16,0.719,0.803,0.803
15_points_GTv3_19,0.719,0.909,0.909
15_points_GTv3_43,0.718,0.852,0.852
15_points_GTv3_15,0.717,0.900,0.900
25_points_GTv3_35,0.710,0.741,0.741
15_points_GTv3_30,0.710,0.848,0.926
25_points_GTv3_05,0.705,0.863,0.865
10_points_GTv3_31,0.703,0.755,0.846
05_points_GTv3_72,0.698,0.714,0.714
25_points_GTv3_10,0.698,0.807,0.807
05_points_GTv3_76,0.697,0.759,0.900
25_points_GTv3_64,0.695,0.777,0.777
15_points_GTv3_20,0.691,0.889,0.889
15_points_GTv3_29,0.688,0.882,0.882
10_points_GTv3_28,0.686,0.766,0.834
25_points_GTv3_24,0.686,0.733,0.733
05_points_GTv3_46,0.684,0.840,0.908
